"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1190","[FRAME1] [DAILY] C30 test23","","Tue May 06 16:58:17 IST 2025","passed","Tue May 06 16:58:18 IST 2025","","Frame Testing with WebDriverIO","",""
"","1380","[FRAME1] [DAILY] C28 test21","","Tue May 06 16:58:14 IST 2025","passed","Tue May 06 16:58:15 IST 2025","","Frame Testing with WebDriverIO","",""
"","1088","[FRAME1] [DAILY] C34 test27","","Tue May 06 16:58:21 IST 2025","passed","Tue May 06 16:58:22 IST 2025","","Frame Testing with WebDriverIO","",""
"","1241","[FRAME1] [DAILY] C33 test26","","Tue May 06 16:58:20 IST 2025","passed","Tue May 06 16:58:21 IST 2025","","Frame Testing with WebDriverIO","",""
"","989","[FRAME1] [DAILY] C32 test25","","Tue May 06 16:58:19 IST 2025","passed","Tue May 06 16:58:20 IST 2025","","Frame Testing with WebDriverIO","",""
"","1392","[FRAME1] [DAILY] C26 test19","","Tue May 06 16:58:11 IST 2025","passed","Tue May 06 16:58:12 IST 2025","","Frame Testing with WebDriverIO","",""
"","978","[FRAME1] [DAILY] C35 test28","","Tue May 06 16:58:22 IST 2025","passed","Tue May 06 16:58:23 IST 2025","","Frame Testing with WebDriverIO","",""
"","1382","[FRAME1] [DAILY] C29 test22","","Tue May 06 16:58:15 IST 2025","passed","Tue May 06 16:58:17 IST 2025","","Frame Testing with WebDriverIO","",""
"","1538","[FRAME1] [DAILY] C25 test18","","Tue May 06 16:58:09 IST 2025","passed","Tue May 06 16:58:11 IST 2025","","Frame Testing with WebDriverIO","",""
"","1528","[FRAME1] [DAILY] C27 test20","","Tue May 06 16:58:12 IST 2025","passed","Tue May 06 16:58:14 IST 2025","","Frame Testing with WebDriverIO","",""
"","4886","[FRAME1] [DAILY] C24 test17","","Tue May 06 16:58:04 IST 2025","passed","Tue May 06 16:58:09 IST 2025","","Frame Testing with WebDriverIO","",""
"","1137","[FRAME1] [DAILY] C31 test24","","Tue May 06 16:58:18 IST 2025","passed","Tue May 06 16:58:19 IST 2025","","Frame Testing with WebDriverIO","",""
